time,ëO„¯çúãÿ
1,-0.2783921
2,-0.1757197
3,0.09571299
4,0.1447553
5,0.1522227
6,0.3776433
7,0.2119934
8,0.06706855
9,0.01860733
10,-0.1452639
11,-0.1454557
12,-0.1653844
13,-0.1065645
14,0.1342884
15,0.1276332
16,-0.07756315
17,-0.06790468
18,-0.09976558
19,-0.1453814
20,-0.1920058
21,-0.1614753
22,-0.1134318
23,-0.09683119
24,0.08810613
25,0.3224224
26,0.08102807
27,-0.1335024
28,0.2624466
29,0.507706
30,0.2154981
31,-0.08665386
32,0.03741468
33,-0.07962268
34,-0.1597238
35,-0.1445395
36,-0.3122853
37,-0.388979
38,-0.3778163
39,-0.1059626
40,0.1163627
41,0.6190589
42,0.460077
43,-0.1278221
44,-0.1269113
45,0.1079464
46,0.5135099
47,0.2974561
48,-0.00226295
49,-0.2266641
50,-0.2909084
51,-0.323772
52,-0.273403
53,0.1829839
54,0.2083409
55,0.04365388
56,0.1099342
57,-0.04246315
58,-0.1316656
59,-0.0487431
60,-0.1027592
61,0.07880013
62,0.1850134
63,0.03372664
64,-0.137082
65,-0.2556078
66,-0.1974657
67,-0.08262132
68,-0.02385503
69,0.01589605
70,0.06152434
71,0.07959384
72,0.02142664
73,0.02483317
74,0.05059055
75,0.03873819
76,0.08591839
77,0.1139355
78,0.03631549
79,-0.1262145
80,-0.3099066
81,-0.3256595
82,-0.1207263
83,0.2513837
84,0.384591
85,0.296539
86,0.1628634
87,-0.1459231
88,-0.2903976
89,-0.1787052
90,0.2947944
91,0.686487
92,0.2337571
93,-0.09415519
94,-0.09140043
95,-0.2867909
96,-0.1850606
97,-0.03610174
98,0.000727505
99,-0.05590197
100,-0.06809548
101,-0.03964839
102,-0.01770533
103,0.02371345
104,-0.007332599
105,-0.02420085
106,-0.1081449
107,-0.1672018
108,-0.1646777
109,-0.1241157
110,-0.08428504
111,0.05606847
112,0.1912597
113,0.1304399
114,0.150728
115,0.1416384
116,0.1243515
117,0.02159312
118,-0.09541851
119,-0.04159788
120,-0.06792228
121,0.01123748
122,0.07098553
123,0.07935686
124,0.08800624
125,-0.01568756
126,-0.0603139
127,0.01978544
128,0.08154967
129,-0.07211863
130,-0.2306551
131,-0.1200137
132,-0.06680501
133,-0.001194432
134,0.1017081
135,0.1339208
136,0.08853261
137,0.06734448
138,0.06358851
139,-0.038167
140,-0.03871571
141,-0.04840498
142,-0.04544673
143,-0.03457336
144,-0.02213402
145,-0.009025592
146,-0.00932651
147,-0.008845332
148,-0.01565636
149,-0.006133012
150,-0.005012234
151,-0.002785927
152,-0.004208863
153,0.006917343
154,0.006974627
155,-0.000368676
156,0.008781876
157,0.01084246
158,0.01114525
159,0.004958911
160,-0.003403225
161,-0.003431834
162,-0.000454082
163,0.002800278
164,-0.003469134
165,-0.004977843
166,-0.008146416
167,0.003762958
168,0.0198467
169,0.006290284
170,-0.00070242
171,-0.000264505
172,0.001170959
173,0.004506611
174,-0.004649017
175,-0.00487952
176,-0.002999111
177,-0.003350823
178,-0.003767118
179,-0.004492209
180,-0.002291629
181,-0.000500329
182,-0.000620955
183,-0.003999743
184,-0.000595885
185,-0.003307319
186,-0.002755941
187,-0.001051422
188,0.002616246
189,0.007284719
190,0.001225256
191,0.002639101
192,0.003876561
193,0.002501268
194,-0.002910579
195,-0.003215704
196,-0.003324908
197,-0.000325406
198,0.001297876
199,-0.001840568
200,0.001161734
201,0.0075864
202,0.005090083
203,-0.00119509
204,0.003014119
205,0.000261978
206,0.001619788
207,0.001008043
208,0.008665396
209,0.01308415
210,0.0103372
211,-0.000754189
212,-0.0356577
213,-0.05606185
214,-0.0414031
215,-0.03312118
216,0.02435787
217,0.1243504
218,0.1828116
219,0.03616269
220,-0.1238021
221,-0.04161394
222,-0.000918403
223,0.007195124
224,0.00421894
225,-0.003842473
226,-0.009461869
227,-0.01609364
228,-0.01103668
229,-0.01563431
230,-0.004033847
231,-0.01030008
232,-0.006009175
233,-0.00473865
234,1.51E-05
235,-0.00599499
236,-0.003549665
237,-0.000699124
238,-0.000295516
239,0.000715188
240,0.003746477
241,0.000413737
242,-0.002553545
243,0.000956959
244,0.002534084
245,0.002100914
246,-0.004550218
247,0.002777719
248,0.006581014
249,0.008939262
250,0.01535441
251,0.01971805
252,-0.031555
253,-0.08625121
254,-0.106068
255,-0.106782
256,-0.01075779
257,0.2768368
258,0.1999907
259,-0.05551805
260,0.01859686
261,0.003722936
262,-0.05765049
263,-0.1101867
264,-0.05930841
265,-0.03273115
266,0.06435136
267,0.164918
268,0.08904138
269,0.1123209
270,0.03498235
271,-0.06951519
272,-0.08072612
273,-0.05971017
274,-0.0273253
275,-0.02854029
276,-0.02460684
277,-0.06255326
278,-0.1117748
279,-0.1568019
280,-0.1876451
281,-0.1065815
282,-0.03999254
283,0.008823171
284,0.1199515
285,0.2532279
286,0.1877246
287,0.1955334
288,0.4181948
289,0.2305101
290,0.03947824
291,-0.2038874
292,-0.3909941
293,-0.2121821
294,-0.1810823
295,-0.1308692
296,0.1280192
297,0.2189902
298,-0.01123518
299,-0.04901142
300,-0.06241136
301,-0.1170071
302,-0.08940416
303,-0.1072199
304,-0.03394774
305,0.05304215
306,0.1910319
307,0.2964833
308,0.102559
309,-0.0168355
310,-0.02336567
311,-0.04561077
312,-0.01819395
313,-0.04699491
314,-0.0359749
315,-0.03488254
316,-0.04596871
317,-0.03539223
318,-0.02835748
319,-0.04640961
320,-0.06251094
321,-0.02746636
322,0.050554
323,0.1111751
324,0.1492604
325,0.1144781
326,-0.008491471
327,-0.08483587
328,-0.05522961
329,-0.0220897
330,-0.01991656
331,-0.01556625
332,-0.01035712
333,-0.003496895
334,-0.006151713
335,-0.002484927
336,-0.003014827
337,-0.001459417
338,0.005024641
339,0.006951452
340,0.002664693
341,-0.001473838
342,-0.002360951
343,-0.000850559
344,0.001204473
345,0.006150902
346,0.002680452
347,0.001557041
348,0.01041845
349,0.01686573
350,0.00915637
351,-0.000351363
352,0.004503112
353,-0.001777951
354,-0.003099744
355,0.00024786
356,0.001497928
357,0.006033863
358,0.003295774
359,-0.002993967
360,-0.005757478
361,-0.005371513
362,-0.006709829
363,-0.008656459
364,-0.01152528
365,-0.003195438
366,0.005852864
367,0.003401131
368,-0.00212642
369,-0.002841505
370,-0.001379896
371,0.000104082
372,0.007516715
373,0.005785709
374,0.000750747
375,-0.004751356
376,-0.01289279
377,-0.003275399
378,0.007260704
379,0.003712935
380,-0.001335983
381,-0.002359677
382,0.000987832
383,-0.002815017
384,0.00165648
385,-0.002283817
386,-0.002397101
387,0.007337681
388,-0.007812001
389,-0.004182554
390,0.01203028
391,0.008292171
392,-0.002103667
393,-0.00627502
394,-0.008198978
395,-0.009001916
396,-0.001764212
397,0.00545811
398,0.008581892
399,0.003018951
400,0.01075327
401,0.01851077
402,0.004713682
403,-0.00205831
404,-0.006342863
405,-0.007219085
406,-0.006924154
407,-0.00577796
408,0.005189339
409,0.004173147
410,-0.006906935
