time,ëO„¯çúãÿ
1,0.07437099
2,0.1927607
3,-0.01266855
4,-0.09012081
5,0.002385358
6,0.01096596
7,0.06260669
8,0.05786408
9,0.02537514
10,-0.02682144
11,-0.02373271
12,-0.01665875
13,-0.01731389
14,-0.001783507
15,0.03600083
16,0.03399953
17,-0.05391036
18,-0.09319858
19,-0.2044279
20,-0.3916684
21,-0.04797371
22,0.3577138
23,0.3074717
24,0.3863173
25,-0.02962258
26,-0.08868025
27,0.3374868
28,0.1597985
29,0.03518346
30,-0.106558
31,-0.00658584
32,0.05803113
33,-0.1744645
34,-0.1572067
35,-0.1036779
36,-0.09813331
37,-0.1088849
38,-0.09135894
39,-0.06039467
40,-0.121978
41,-0.1865214
42,-0.09932321
43,0.05064663
44,0.03341193
45,0.01143592
46,0.1146094
47,0.06675518
48,-0.06498813
49,-0.1614093
50,0.2981379
51,0.2873346
52,-0.5345642
53,-0.3093793
54,0.4434635
55,0.75366
56,0.4644428
57,-0.07072616
58,-0.3805735
59,-0.3473374
60,-0.1703459
61,-0.164174
62,-0.2294054
63,-0.07247099
64,0.05411306
65,0.1525215
66,0.2646802
67,0.1464431
68,0.1774556
69,0.03409375
70,0.004848346
71,-0.03366285
72,-0.08451857
73,0.008967187
74,-0.03858964
75,-0.2406302
76,-0.5244489
77,-0.2773942
78,-0.1414288
79,0.03828378
80,0.7227581
81,0.8059202
82,-0.02851164
83,0.1131364
84,0.1403956
85,-0.2864383
86,-0.1303884
87,-0.3704279
88,-0.03655498
89,0.002948731
90,-0.1555318
91,0.01826336
92,0.007483974
93,-0.2904333
94,-0.09260927
95,0.2737784
96,-0.1110523
97,0.09819598
98,0.436807
99,0.1599526
100,-0.0796679
101,0.01031801
102,0.09011331
103,-0.02349355
104,-0.1004248
105,0.01579364
106,-0.003777929
107,-0.1450757
108,-0.1756736
109,0.04579385
110,0.1821012
111,-0.03075266
112,-0.1397216
113,-0.1145623
114,-0.02431612
115,0.04144257
116,0.05470227
117,0.02014805
118,-0.04005707
119,-0.02842305
120,-0.01003076
121,0.0336149
122,-0.01477629
123,-0.131452
124,0.0265401
125,0.2131838
126,0.1886951
127,0.003792629
128,-0.1337299
129,-0.1369611
130,-0.1204757
131,-0.0670367
132,0.09081592
133,0.2948063
134,0.3496942
135,0.2551883
136,-0.117169
137,-0.1707065
138,-0.06897267
139,-0.1428393
140,-0.1804754
141,-0.2549928
142,-0.1488306
143,0.09054749
144,0.1954475
145,0.02648631
146,0.002309263
147,0.03966169
148,0.1480481
149,0.07056563
150,-0.01528425
151,0.01544864
152,-0.2825144
153,-0.2552409
